Id,Subject Focus,Eyes,Face,Near,Action,Accessory,Group,Collage,Human,Occlusion,Info,Blur,Pawpularity,file_path,phash,n_pets,pet_label,x_min,x_max,y_min,y_max,pet_ratio,is_unknown,is_dog,is_cat
0007de18844b0dbbb5e1f607da0606e0,0,1,1,1,0,0,1,0,0,0,0,0,63,train/0007de18844b0dbbb5e1f607da0606e0.jpg,[1 1 1 0 0 0 1 0 1 1 0 0 1 0 0 0 1 0 0 1 1 1 0 1 0 0 1 1 1 1 1 0 1 0 1 1 0 0 1 0 1 0 0 1 0 0 1 1 1 0 1 0 1 0 1 1 0 1 0 0 1 0 0 0],3,dog,203.40309143066406,32.948490142822266,115.20230865478516,229.32635498046875,0.3476714677640604,0,1,0
0009c66b9439883ba2750fb825e1d7db,0,1,1,0,0,0,0,0,0,0,0,0,42,train/0009c66b9439883ba2750fb825e1d7db.jpg,[1 1 0 0 1 1 1 0 0 1 1 0 0 1 1 0 0 0 1 1 1 0 0 1 0 1 0 0 1 0 1 1 0 0 1 1 0 1 1 0 1 0 0 1 1 0 1 1 0 1 0 0 1 1 0 1 0 0 1 0 0 1 0 0],1,cat,649.0416870117188,891.9737548828125,199.08395385742188,474.96514892578125,0.08331580634176632,0,0,1
0013fd999caf9a3efe1352ca1b0d937e,0,1,1,1,0,0,0,0,1,1,0,0,28,train/0013fd999caf9a3efe1352ca1b0d937e.jpg,[1 1 1 0 0 1 1 0 1 0 1 0 0 1 0 0 1 0 0 1 1 1 0 0 1 1 0 0 0 1 1 0 1 1 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 0 1 1 0 1 1 0 1 1 1 0 1 1 1 0],1,dog,107.97427368164062,579.3095092773438,60.70580291748047,681.7516479492188,0.4240625,0,1,0
0018df346ac9c1d8413cfcc888ca8246,0,1,1,1,0,0,0,0,0,0,0,0,15,train/0018df346ac9c1d8413cfcc888ca8246.jpg,[1 1 1 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 1 0 1 0 0 1 1 1 1 0 1 0 1 0 1 0 1 1 1 1 1 0 1 0 1 1 0 1 0 1 1 1 0 1 0 0 0],1,dog,0.003398895263671875,403.63836669921875,218.0036163330078,559.1671752929688,0.47127229080932787,0,1,0
001dc955e10590d3ca4673f034feeef2,0,0,0,1,0,0,1,0,0,0,0,0,72,train/001dc955e10590d3ca4673f034feeef2.jpg,[1 0 1 0 0 0 0 1 0 1 1 1 0 0 1 0 1 1 1 0 0 0 0 0 1 1 0 0 1 0 1 1 1 0 0 0 1 1 1 0 0 0 1 0 0 0 1 0 0 0 1 1 1 0 1 1 1 1 0 1 1 1 0 1],2,cat,52.28606414794922,511.4539489746094,216.561279296875,650.1573486328125,0.38860725308641975,0,0,1
001dd4f6fafb890610b1635f967ea081,0,0,1,0,0,0,0,0,0,0,0,1,74,train/001dd4f6fafb890610b1635f967ea081.jpg,[1 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 1 0 0 1 1 0 1 0 0 1 1 1 1 0 1 1 0 1 1 0 0 1 0 1 1 1 0 0 0 1 0 1 1 0 0 0 1 1 1 1 0 0 1 1 1 0],1,dog,179.84228515625,441.4688415527344,332.1167907714844,540.3107299804688,0.10512345679012346,0,1,0
0023b8a3abc93c712edd6120867deb53,0,1,1,1,0,0,0,0,1,1,0,0,22,train/0023b8a3abc93c712edd6120867deb53.jpg,[1 1 1 1 0 0 1 1 0 1 1 0 1 1 0 1 0 0 1 1 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 1 0 1 1 1 1 0 1 0 1 0 1 0 1 0 0 1 1 1 0 0 1 1 0 0],1,dog,161.1292724609375,487.192138671875,222.93923950195312,949.3042602539062,0.342884837962963,0,1,0
0031d6a9ef7340f898c3e05f92c7bb04,0,1,1,0,0,0,1,1,0,0,1,0,35,train/0031d6a9ef7340f898c3e05f92c7bb04.jpg,[1 1 0 1 1 0 0 0 1 0 1 0 1 1 0 1 1 1 1 0 0 0 0 1 0 1 0 0 1 0 1 0 1 1 0 0 0 0 1 1 1 0 1 1 0 1 0 0 0 0 1 1 0 1 1 1 1 1 0 1 0 0 0 0],9,dog,882.7601928710938,411.1226806640625,858.0478515625,260.7033386230469,0.312056884765625,0,1,0
0042bc5bada6d1cf8951f8f9f0d399fa,0,1,1,1,0,0,0,0,0,0,0,0,53,train/0042bc5bada6d1cf8951f8f9f0d399fa.jpg,[1 1 0 1 0 1 0 1 1 0 1 0 1 0 0 1 0 0 1 1 1 0 0 0 1 1 1 0 1 1 0 0 1 0 1 1 1 0 1 1 0 1 1 0 1 0 0 0 0 1 1 1 0 0 0 0 0 1 0 0 0 1 1 0],1,cat,2.403717041015625,649.7305297851562,4.92791748046875,955.8677978515625,0.8901866319444445,0,0,1
0049cb81313c94fa007286e9039af910,0,1,1,1,0,0,0,0,0,0,0,0,21,train/0049cb81313c94fa007286e9039af910.jpg,[1 0 0 1 1 1 0 1 0 0 1 0 1 1 0 1 0 1 1 0 0 0 0 1 1 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0 0 1 0 1 0 0 1 0 0 1 0 1 1 0 1 0 1 0 1 1 0 1 1 0],1,cat,11.01988697052002,1220.7591552734375,2.53073787689209,840.184814453125,0.9352255534642343,0,0,1
005017716086b8d5e118dd9fe26459b1,0,1,1,1,0,0,0,0,0,0,0,0,28,train/005017716086b8d5e118dd9fe26459b1.jpg,[1 1 1 0 1 0 1 0 1 0 0 0 0 1 1 1 1 1 0 0 0 1 1 1 0 1 1 0 1 0 0 0 1 0 0 1 1 1 0 1 1 0 0 0 1 0 0 1 1 0 0 1 0 0 1 0 1 0 1 1 0 0 1 0],1,cat,330.9544982910156,995.72119140625,71.47344970703125,1249.716064453125,0.478131103515625,0,0,1
00524dbf2637a80cbc80f70d3ff59616,0,1,1,1,0,0,0,0,0,0,0,0,2,train/00524dbf2637a80cbc80f70d3ff59616.jpg,[1 0 0 1 1 0 1 0 0 1 0 1 1 0 0 1 0 0 1 1 0 0 0 1 1 0 1 0 0 1 1 0 1 1 0 0 1 1 1 0 0 0 1 1 1 1 1 0 0 0 1 1 0 1 1 0 1 1 0 0 0 0 0 1],1,dog,97.93878936767578,331.6819763183594,86.35550689697266,583.6752319335938,0.39882716049382716,0,1,0
00630b1262efe301cb15a3b2022ba744,0,1,1,1,0,0,0,0,0,0,0,0,18,train/00630b1262efe301cb15a3b2022ba744.jpg,[1 0 1 1 1 1 1 0 0 0 1 0 1 0 1 1 1 1 0 0 0 0 0 1 1 0 0 1 1 1 1 0 0 0 0 1 1 1 1 0 0 1 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 1 1 1 1 0],1,cat,126.44499206542969,510.5197448730469,293.342529296875,713.5151977539062,0.3111111111111111,0,0,1
006483b96ca9c09b7afed3e3d3af539d,0,1,1,1,0,0,0,0,1,1,0,0,41,train/006483b96ca9c09b7afed3e3d3af539d.jpg,[1 0 0 0 1 1 1 1 0 1 0 0 1 0 0 0 0 1 1 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 0 1 1 0 1 0 1 1 1 0 1 1 1 0 1 0 1 0 1 1 1 1 0 0 1 1 0 0],1,dog,178.37242126464844,535.6698608398438,175.40689086914062,833.208251953125,0.33985243055555553,0,1,0
00655425c10d4c082dd7eeb97fa4fb17,0,1,0,0,0,1,0,0,0,0,0,0,13,train/00655425c10d4c082dd7eeb97fa4fb17.jpg,[1 0 1 1 1 0 0 1 1 0 0 1 0 0 0 1 1 1 0 0 0 0 1 0 0 1 1 0 1 0 1 0 1 0 1 1 0 1 0 0 0 0 0 0 1 1 1 1 1 0 1 1 1 0 1 1 0 1 0 1 0 1 0 0],1,cat,2.4780237674713135,580.0,73.68894958496094,569.3641357421875,0.7747532899173946,0,0,1
0067aaaa500b530c76b9c91af34b4cb8,0,1,1,1,0,0,0,0,0,0,0,0,98,train/0067aaaa500b530c76b9c91af34b4cb8.jpg,[1 1 1 0 0 0 1 1 1 0 0 1 0 0 1 0 1 0 1 1 0 1 0 0 0 0 1 1 1 1 0 1 0 0 0 0 1 0 1 1 0 1 1 1 0 0 1 0 0 1 1 0 1 1 0 0 0 1 1 0 1 1 0 0],1,dog,35.41655731201172,716.4292602539062,44.63990020751953,742.281494140625,0.6876996527777778,0,1,0
006cda7fec46a527f9f627f4722a2304,0,0,0,1,0,0,0,0,0,0,0,1,34,train/006cda7fec46a527f9f627f4722a2304.jpg,[1 1 1 1 0 1 1 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 1 1 1 0 0 0 0 1 1 0 1 1 0 1 1 0 0 0 1 1 1 0 1 0 0 0 1 1 1 1 0 1 1 1 0 0 0],1,cat,111.0059814453125,926.9390869140625,316.2428283691406,709.9285888671875,0.26065673828125,0,0,1
006fe962f5f7e2c5f527b2e27e28ed6d,0,1,1,0,0,0,0,1,1,1,0,0,69,train/006fe962f5f7e2c5f527b2e27e28ed6d.jpg,[1 1 0 0 1 1 1 0 0 0 1 0 1 1 0 1 1 0 0 1 1 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 1 1 0 1 0 1 0 1 1 1 1 0 0 1 0 0 0 0 1 1 1 1 0 0 1 1],9,dog,498.3134460449219,152.99159240722656,421.3831481933594,237.6337127685547,0.7826316140973534,0,1,0
